Place,StateCode,Physicians,HealthCosts,WaterQuality,AirQuality
prattville,al,58,106.9,80,34
priceville,al,151,103.6,30,58
prichard,al,209,106.7,60,45
providence,al,70,103.1,100,52
putnam,al,70,103.1,100,52
ragland,al,32,107.2,81,51
rainbow_city,al,193,107.7,85,47
rainsville,al,61,104.2,86,64
ranburne,al,13,102.8,92,59
ray,al,9,103.5,60,51
red_bay,al,82,103,73,64
red_level,al,103,101.1,74,54
redland,al,48,105,87,44
redstone_arsenal,al,231,108,1,59
reece_city,al,193,107.7,85,57
reeltown,al,113,105.7,80,48
reform,al,43,102.8,70,55
rehobeth,al,328,108.2,100,54
repton,al,47,101.7,84,55
ridgeville,al,193,107.7,85,58
river_falls,al,103,101.1,74,54
riverside,al,32,107.2,81,47
riverview,al,77,102.7,80,50
roanoke,al,49,103.8,79,56
robertsdale,al,173,100.8,67,65
rock_creek,al,350,104.2,81,37
rock_mills,al,49,103.8,79,55
rockford,al,9,103.5,60,51
rockville,al,73,102.3,100,57
rogersville,al,173,101.4,40,62
rosa,al,30,111.8,76,59
russellville,al,82,103,73,61
rutledge,al,29,102.4,73,53
saks,al,170,106.9,91,46
samson,al,34,104.8,100,55
sand_rock,al,39,101.2,89,60
sanford,al,103,101.1,74,56
saraland,al,209,106.7,60,48
sardis_city,al,193,107.7,85,62
satsuma,al,209,106.7,60,45
scottsboro,al,92,102.9,53,61
section,al,92,102.9,53,67
selma,al,129,103.8,100,41
selmont-west_selmont,al,129,103.8,100,50
semmes,al,209,106.7,60,55
sheffield,al,155,101.7,60,52
shelby,al,208,104.5,79,50
shiloh,al,61,104.2,86,65
shoal_creek,al,208,104.5,79,48
shorter,al,73,103.4,80,43
silas,al,53,108.3,88,56
silverhill,al,173,100.8,67,65
sipsey,al,110,104,80,53
skyline,al,92,102.9,53,67
slocomb,al,34,104.8,100,55
smiths_station,al,124,103.5,73,49
smoke_rise,al,30,111.8,76,52
snead,al,30,111.8,76,60
somerville,al,151,103.6,30,60
south_vinemont,al,129,101.2,53,51
southside,al,193,107.7,85,50
spanish_fort,al,173,100.8,67,66
spring_garden,al,39,101.2,89,57
springville,al,32,107.2,81,55
spruce_pine,al,82,103,73,63
