CongressionalDistrict,Branch,Year,Constitutional (0-1),State
NE-03,house,2012,0.0,NE
NE-02,house,2012,0.0,NE
NH-02,house,2012,0.14,NH
NH-01,house,2012,0.07,NH
NJ-01,house,2012,0.02,NJ
NJ-05,house,2012,0.36,NJ
NJ-07,house,2012,0.14,NJ
NJ-02,house,2012,0.21,NJ
NJ-03,house,2012,0.07,NJ
NJ-04,house,2012,0.07,NJ
NM-02,house,2012,0.07,NM
NV-02,house,2012,0.07,NV
NV-03,house,2012,0.14,NV
NY-02,house,2012,0.12,NY
NY-01,house,2012,0.0,NY
NY-03,house,2012,0.0,NY
NY-09,house,2012,0.0,NY
OH-07,house,2012,0.0,OH
OH-08,house,2012,0.0,OH
OH-01,house,2012,0.05,OH
OH-06,house,2012,0.0,OH
OH-04,house,2012,0.43,OH
OH-05,house,2012,0.14,OH
OH-02,house,2012,0.29,OH
OH-03,house,2012,0.07,OH
OK-04,house,2012,0.0,OK
OK-05,house,2012,0.14,OK
OK-03,house,2012,0.0,OK
OK-01,house,2012,0.07,OK
OR-02,house,2012,0.0,OR
PA-01,house,2012,0.09,PA
PA-08,house,2012,0.07,PA
PA-06,house,2012,0.0,PA
PA-03,house,2012,0.0,PA
PA-07,house,2012,0.0,PA
PA-09,house,2012,0.0,PA
PA-05,house,2012,0.0,PA
SC-03,house,2012,0.43,SC
SC-04,house,2012,0.36,SC
SC-05,house,2012,0.5,SC
SC-01,house,2012,0.29,SC
SC-02,house,2012,0.29,SC
SD-00,house,2012,0.14,SD
TN-06,house,2012,0.21,TN
TN-07,house,2012,0.14,TN
TN-04,house,2012,0.14,TN
TN-02,house,2012,0.64,TN
TN-08,house,2012,0.29,TN
TN-03,house,2012,0.14,TN
TN-01,house,2012,0.0,TN
TX-06,house,2012,0.14,TX
TX-08,house,2012,0.0,TX
TX-02,house,2012,0.17,TX
TX-03,house,2012,0.05,TX
TX-01,house,2012,0.21,TX
TX-07,house,2012,0.14,TX
TX-04,house,2012,0.14,TX
TX-05,house,2012,0.14,TX
UT-01,house,2012,0.14,UT
UT-03,house,2012,0.21,UT
VA-07,house,2012,0.0,VA
VA-04,house,2012,0.14,VA
VA-06,house,2012,0.14,VA
VA-09,house,2012,0.21,VA
VA-05,house,2012,0.07,VA
VA-02,house,2012,0.14,VA
VA-01,house,2012,0.12,VA
WA-04,house,2012,0.0,WA
WA-03,house,2012,0.07,WA
WA-08,house,2012,0.0,WA
WA-05,house,2012,0.0,WA
WI-07,house,2012,0.07,WI
WI-06,house,2012,0.21,WI
WI-08,house,2012,0.07,WI
WI-01,house,2012,0.14,WI
WI-05,house,2012,0.64,WI
WV-02,house,2012,0.0,WV
WV-01,house,2012,0.07,WV
WY-00,house,2012,0.43,WY
AL-07,house,2012,0.08,AL
AR-04,house,2012,0.38,AR
AZ-08,house,2012,0.0,AZ
AZ-07,house,2012,0.0,AZ
AZ-04,house,2012,0.0,AZ
CA-09,house,2012,0.0,CA
CA-07,house,2012,0.0,CA
CA-08,house,2012,0.0,CA
CA-06,house,2012,0.0,CA
CO-01,house,2012,0.0,CO
CO-07,house,2012,0.08,CO
CO-02,house,2012,0.08,CO
CT-02,house,2012,0.08,CT
CT-03,house,2012,0.08,CT
CT-04,house,2012,0.08,CT
CT-01,house,2012,0.0,CT
CT-05,house,2012,0.0,CT
DE-00,house,2012,0.08,DE
FL-03,house,2012,0.0,FL
GA-02,house,2012,0.46,GA
GA-04,house,2012,0.0,GA
GA-05,house,2012,0.0,GA
HI-01,house,2012,0.0,HI
HI-02,house,2012,0.0,HI
IA-03,house,2012,0.46,IA
IA-01,house,2012,0.0,IA
IA-02,house,2012,0.31,IA
IL-07,house,2012,0.0,IL
IL-04,house,2012,0.0,IL
IL-02,house,2012,0.0,IL
IL-03,house,2012,0.08,IL
IL-05,house,2012,0.0,IL
IL-09,house,2012,0.0,IL
IN-07,house,2012,0.0,IN
IN-02,house,2012,0.46,IN
IN-01,house,2012,0.08,IN
KY-06,house,2012,0.38,KY
KY-03,house,2012,0.0,KY
LA-02,house,2012,0.0,LA
MA-08,house,2012,0.0,MA
MA-04,house,2012,0.0,MA
