Place,County,StateCode,Population,ViolentCrime,PropertyCrime,SocietalCrime
la_minita,starr,tx,65728,187,154,27
la_paloma,cameron,tx,425208,1557,1090,257
la_paloma_addition,san_patricio,tx,,,,
la_paloma_ranchettes,starr,tx,65728,187,154,27
la_paloma-lost_creek,nueces,tx,351674,192,249,74
la_porte,harris,tx,36646,529,746,558
la_presa,webb,tx,267780,269,226,75
la_pryor,zavala,tx,9377,57,82,60
la_puerta,starr,tx,65728,187,154,27
la_rosita,starr,tx,65728,187,154,27
la_tina_ranch,cameron,tx,425208,1557,1090,257
la_vernia,wilson,tx,1224,16,54,51
la_victoria,starr,tx,65728,187,154,27
la_villa,hidalgo,tx,888367,3951,4722,695
la_ward,jackson,tx,15142,34,79,24
lackland_afb,bexar,tx,2059530,3632,8798,1458
lacoste,medina,tx,53723,152,380,125
lacy-lakeview,mclennan,tx,7143,137,251,110
ladonia,fannin,tx,37125,100,228,71
lago,cameron,tx,9637,85,110,13
lago_vista,travis,tx,9637,85,110,13
laguna_heights,cameron,tx,425208,1557,1090,257
laguna_park,bosque,tx,18697,35,63,55
laguna_seca,hidalgo,tx,888367,3951,4722,695
laguna_vista,cameron,tx,3673,12,39,2
lake_bridgeport,wise,tx,74895,347,478,228
lake_brownwood,brown,tx,38373,198,296,105
lake_bryan,brazos,tx,242014,363,643,363
lake_cherokee,rusk,tx,53333,299,448,178
lake_city,san_patricio,tx,,,,
lake_colorado_city,mitchell,tx,,,,
lake_dallas,denton,tx,7738,47,96,19
lake_dunlap,guadalupe,tx,,,,
lake_jackson,brazoria,tx,27595,505,690,89
lake_kiowa,cooke,tx,43050,126,186,130
lake_medina_shores,bandera,tx,22115,96,215,70
lake_meredith_estates,hutchinson,tx,20215,44,70,31
lake_tanglewood,randall,tx,146140,307,274,94
lake_view,val_verde,tx,47606,264,266,70
lake_worth,tarrant,tx,4652,98,421,109
lakehills,bandera,tx,22115,96,215,70
lakeport,gregg,tx,970,0,2,0
lakeshore_gardens-hidden_acres,san_patricio,tx,,,,
lakeside_(tarrant_cnty),tarrant,tx,2154595,800,1187,758
lakeside_city,archer,tx,,,,
lakeway,travis,tx,19267,67,300,161
lakewood_village,denton,tx,977281,276,591,284
lamar,aransas,tx,3457,24,38,5
lamesa,dawson,tx,8726,200,369,93
lampasas,lampasas,tx,7737,187,293,169
lancaster,dallas,tx,40615,687,1573,286
lantana,denton,tx,977281,276,591,284
laredo,webb,tx,256973,3459,5046,1409
las_lomas,starr,tx,65728,187,154,27
las_lomitas,jim_hogg,tx,4763,31,53,13
las_palmas,zapata,tx,13849,43,41,20
las_palmas_ii,cameron,tx,425208,1557,1090,257
las_quintas_fronterizas,maverick,tx,57843,227,862,211
lasana,cameron,tx,425208,1557,1090,257
lasara,willacy,tx,20143,82,127,10
latexo,houston,tx,21950,38,133,24
laughlin_afb,val_verde,tx,47606,264,266,70
laureles,cameron,tx,425208,1557,1090,257
lavon,collin,tx,6277,18,54,11
lawn,taylor,tx,145163,106,123,184
league_city,galveston,tx,116511,1045,2459,692
leakey,real,tx,2840,18,81,13
leander,williamson,tx,671418,1192,2511,448
leary,bowie,tx,92035,249,345,115
lefors,gray,tx,21015,232,610,209
leming,atascosa,tx,50864,380,716,198
leon_valley,bexar,tx,11402,284,1026,222
leona,leon,tx,2085,10,6,2
leonard,fannin,tx,2085,10,6,2
leroy,mclennan,tx,266836,547,664,314
levelland,hockley,tx,12579,216,451,119
lewisville,denton,tx,113568,1595,4051,1005
lexington,lee,tx,1246,3,2,0
liberty,liberty,tx,8790,96,265,30
liberty_city,gregg,tx,125443,424,363,102
liberty_hill,williamson,tx,6909,58,70,65
lindale,smith,tx,6509,32,129,43
linden,cass,tx,1788,11,12,2
lindsay,cooke,tx,43050,126,186,130
linn,hidalgo,tx,888367,3951,4722,695
lipan,hood,tx,66373,323,469,185
lipscomb,lipscomb,tx,2854,10,7,2
little_elm,denton,tx,55340,408,425,321
little_river-academy,bell,tx,388386,567,741,239
littlefield,lamb,tx,5814,51,128,59
live_oak,bexar,tx,15884,196,924,340
liverpool,brazoria,tx,388181,1262,2120,666
livingston,polk,tx,5937,202,449,160
llano,llano,tx,3406,28,46,18
llano_grande,hidalgo,tx,888367,3951,4722,695
lockhart,caldwell,tx,15068,140,223,105
lockney,floyd,tx,1474,18,12,7
log_cabin,henderson,tx,820,1,4,1
lolita,jackson,tx,15142,34,79,24
loma_grande,zavala,tx,9377,57,82,60
loma_linda,san_patricio,tx,,,,
loma_linda_east,jim_wells,tx,38826,250,372,128
loma_linda_west,starr,tx,65728,187,154,27
loma_vista,starr,tx,65728,187,154,27
lometa,lampasas,tx,22785,43,26,14
lone_oak,hunt,tx,108282,525,797,147
lone_star,morris,tx,1412,16,10,3
longview,gregg,tx,81811,1385,3348,1171
loop,gaines,tx,22181,50,104,34
lopezville,hidalgo,tx,888367,3951,4722,695
loraine,mitchell,tx,,,,
lorena,mclennan,tx,1787,31,27,28
lorenzo,crosby,tx,4998,22,32,10
los_altos,webb,tx,267780,269,226,75
los_alvarez,starr,tx,65728,187,154,27
los_angeles,willacy,tx,20143,82,127,10
los_arcos,webb,tx,267780,269,226,75
los_barreras,starr,tx,65728,187,154,27
los_ebanos_(starr_cnty),starr,tx,65728,187,154,27
los_fresnos,cameron,tx,8164,55,175,97
los_huisaches,webb,tx,267780,269,226,75
los_indios,cameron,tx,425208,1557,1090,257
los_veteranos_ii,webb,tx,267780,269,226,75
los_ybanez,dawson,tx,12130,12,53,14
lott,falls,tx,,,,
louise,wharton,tx,41824,266,430,177
lovelady,houston,tx,21950,38,133,24
lowry_crossing,collin,tx,1158696,415,569,245
lubbock,lubbock,tx,264142,8414,18039,3396
lucas,collin,tx,1158696,415,569,245
lueders,jones,tx,19935,32,53,63
lufkin,angelina,tx,34063,666,1932,566
luling,caldwell,tx,5511,61,120,56
lumberton,hardin,tx,14004,133,180,136
lyford,willacy,tx,20143,82,127,10
lytle,atascosa,tx,3037,17,172,78
mabank,kaufman,tx,172366,588,948,226
macdona,bexar,tx,2059530,3632,8798,1458
madisonville,madison,tx,4670,50,100,23
magnolia,montgomery,tx,2906,21,64,130
malakoff,henderson,tx,84511,422,777,204
malone,hill,tx,37329,11,20,3
manchaca,travis,tx,1326436,3026,5740,415
manor,travis,tx,23497,139,375,91
mansfield,tarrant,tx,75993,340,1526,213
manuel_garcia,starr,tx,65728,187,154,27
manvel,brazoria,tx,14821,89,188,74
marathon,brewster,tx,9343,6,12,8
marble_falls,burnet,tx,7408,181,279,237
marfa,presidio,tx,1749,4,7,4
marietta,cass,tx,28539,65,145,39
marion,guadalupe,tx,,,,
markham,matagorda,tx,36125,211,425,61
marlin,falls,tx,5631,49,83,72
marquez,leon,tx,16209,42,168,24
marshall,harrison,tx,22628,302,604,165
mart,mclennan,tx,0,24,118,23
martindale,caldwell,tx,47848,175,118,58
mason,mason,tx,3982,7,11,36
matador,motley,tx,1032,8,12,1
matagorda,matagorda,tx,36125,211,425,61
mathis,san_patricio,tx,4379,45,168,50
maud,bowie,tx,969,6,15,2
mauriceville,orange,tx,84934,405,510,138
maypearl,ellis,tx,945,3,6,6
mcallen,hidalgo,tx,145510,2750,4414,1515
mccamey,upton,tx,3152,19,24,7
mcdade,bastrop,tx,106188,1056,1453,445
mcgregor,mclennan,tx,266836,547,664,314
mckinney,collin,tx,208415,1290,3359,501
mckinney_acres,andrews,tx,18334,8,68,3
mclean,gray,tx,21015,232,610,209
mclendon-chisholm,rockwall,tx,123208,90,160,356
mcqueeney,guadalupe,tx,,,,
meadow,terry,tx,4591,17,162,16
meadowlakes,burnet,tx,52502,251,333,117
meadows_place,fort_bend,tx,4591,17,162,16
medina,zapata,tx,0,152,380,125
megargel,archer,tx,,,,
melissa,collin,tx,20071,52,111,173
melvin,mcculloch,tx,7497,13,41,26
memphis,hall,tx,2086,7,9,4
menard,menard,tx,,,,
mentone,loving,tx,51,3,23,1
mercedes,hidalgo,tx,16365,509,736,152
meridian,bosque,tx,1424,11,16,4
merkel,taylor,tx,2431,18,23,8
mertens,hill,tx,37329,11,20,3
mertzon,irion,tx,1530,24,24,8
mesquite,dallas,tx,147226,2669,6956,1606
mexia,limestone,tx,6865,102,188,45
mi_ranchito_estate,starr,tx,65728,187,154,27
miami,roberts,tx,803,61,159,6
midland,midland,tx,129945,3001,3634,1083
midlothian,ellis,tx,38587,375,716,272
midway,madison,tx,13661,18,46,31
midway_north,hidalgo,tx,888367,3951,4722,695
midway_south,hidalgo,tx,888367,3951,4722,695
miguel_barrera,starr,tx,65728,187,154,27
mikes,starr,tx,65728,187,154,27
mila_doce,hidalgo,tx,888367,3951,4722,695
milam,sabine,tx,10048,31,48,9
milano,milam,tx,25628,36,69,26
mildred,navarro,tx,54636,243,352,158
miles,runnels,tx,927,1,1,1
milford,ellis,tx,736,4,8,22
miller's_cove,titus,tx,31208,238,212,91
millsap,parker,tx,165834,644,1583,253
mineola,wood,tx,5031,50,103,85
mineral_wells,palo_pinto,tx,15010,266,710,46
mingus,palo_pinto,tx,29239,70,169,26
mirando_city,webb,tx,267780,269,226,75
mission,hidalgo,tx,86577,1435,2362,833
mission_bend,fort_bend,tx,889146,5125,9619,886
missouri_city,fort_bend,tx,75323,583,1275,247
mobeetie,wheeler,tx,4807,16,16,154
mobile_city,rockwall,tx,123208,90,160,356
monahans,ward,tx,7185,72,72,26
mont_belvieu,chambers,tx,8902,60,193,14
montague,montague,tx,21063,68,133,87
monte_alto,hidalgo,tx,888367,3951,4722,695
montgomery,montgomery,tx,2679,28,61,66
moody,mclennan,tx,266836,547,664,314
moore,frio,tx,,,,
moore_station,henderson,tx,84511,422,777,204
moran,shackelford,tx,3186,16,19,8
morgan,bosque,tx,4789,7,31,44
morgan_farm,san_patricio,tx,,,,
morgan's_point,harris,tx,4780913,30962,80020,8524
morgan's_point_resort,bell,tx,388386,567,741,239
morning_glory,el_paso,tx,868763,2106,2077,1338
morse,hansford,tx,5151,1,12,0
morton,cochran,tx,2526,6,46,6
moulton,lavaca,tx,869,1,2,1
mount_calm,hill,tx,37329,11,20,3
mount_enterprise,rusk,tx,53333,299,448,178
mount_pleasant,titus,tx,16044,225,526,259
mount_vernon,franklin,tx,2500,37,39,15
mountain_city,hays,tx,269225,860,1534,485
muenster,cooke,tx,43050,126,186,130
muleshoe,bailey,tx,5066,46,43,4
mullin,mills,tx,4500,24,24,42
munday,knox,tx,,,,
muniz,hidalgo,tx,888367,3951,4722,695
murchison,henderson,tx,84511,422,777,204
murillo,hidalgo,tx,888367,3951,4722,695
murphy,collin,tx,21297,103,237,34
mustang_ridge,travis,tx,991,8,44,2
myrtle_springs,van_zandt,tx,62859,149,395,32
nacogdoches,nacogdoches,tx,32055,644,897,567
naples,morris,tx,12083,44,49,10
nash,bowie,tx,92035,249,345,115
nassau_bay,harris,tx,5105,40,173,56
natalia,medina,tx,1342,7,32,5
navarro,navarro,tx,54636,243,352,158
navasota,grimes,tx,8459,230,294,109
nazareth,castro,tx,7298,17,20,60
nederland,jefferson,tx,18034,160,416,109
needville,fort_bend,tx,3040,33,48,2
nevada,collin,tx,1158696,415,569,245
new_berlin,guadalupe,tx,,,,
new_boston,bowie,tx,4557,78,186,51
new_braunfels,comal,tx,107017,1197,2595,1040
new_chapel_hill,smith,tx,241922,914,1457,462
new_deal,lubbock,tx,317561,505,920,343
new_fairview,wise,tx,74895,347,478,228
new_falcon,zapata,tx,13849,43,41,20
new_home,lynn,tx,5724,5,12,97
new_hope,collin,tx,1158696,415,569,245
new_london,rusk,tx,53333,299,448,178
new_summerfield,cherokee,tx,51645,341,520,120
new_waverly,walker,tx,78870,267,452,150
newark,wise,tx,74895,347,478,228
newcastle,young,tx,17962,22,29,62
newton,newton,tx,1997,7,24,3
neylandville,hunt,tx,108282,525,797,147
niederwald,hays,tx,269225,860,1534,485
nina,starr,tx,65728,187,154,27
nixon,gonzales,tx,19832,145,185,42
nocona,montague,tx,21063,68,133,87
nocona_hills,montague,tx,21063,68,133,87
nolanville,bell,tx,6560,48,64,23
nome,jefferson,tx,250830,341,594,260
noonday,smith,tx,241922,914,1457,462
nordheim,dewitt,tx,19772,65,103,26
normangee,leon,tx,16209,42,168,24
normanna,bee,tx,30394,84,203,67
north_alamo,hidalgo,tx,888367,3951,4722,695
north_cleveland,liberty,tx,101992,646,1137,171
north_escobares,starr,tx,65728,187,154,27
north_pearsall,frio,tx,,,,
north_richland_hills,tarrant,tx,70108,792,2146,595
north_san_pedro,nueces,tx,351674,192,249,74
northlake,denton,tx,8513,61,197,75
novice,coleman,tx,7850,5,22,1
oak_grove,kaufman,tx,172366,588,948,226
oak_island,chambers,tx,51288,483,1152,481
oak_leaf,ellis,tx,212182,411,634,186
oak_point,denton,tx,977281,276,591,284
oak_ridge_(kaufman_cnty),kaufman,tx,172366,588,948,226
oak_ridge_north,montgomery,tx,3011,21,89,84
oak_trail_shores,hood,tx,66373,323,469,185
oak_valley,navarro,tx,54636,243,352,158
oakhurst,san_jacinto,tx,,,,
oakwood,leon,tx,16209,42,168,24
o'brien,haskell,tx,5403,10,18,16
odem,san_patricio,tx,2277,19,35,21
odessa,ector,tx,110163,3022,3410,1456
o'donnell,lynn,tx,5724,5,12,97
