,City,State,StateCode,Fips,County,Latitude,Longitude,Population,Density,Zip,_merge
6180,ashton_township,illinois,il,,,,,,,,left_only
6182,assumption_township,illinois,il,,,,,,,,left_only
6183,astoria_town,illinois,il,,,,,,,,left_only
6184,astoria_township,illinois,il,,,,,,,,left_only
6186,athensville,illinois,il,,,,,,,,left_only
6187,atkinson_town,illinois,il,,,,,,,,left_only
6188,atkinson_township,illinois,il,,,,,,,,left_only
6190,atlanta_township,illinois,il,,,,,,,,left_only
6191,atlas,illinois,il,,,,,,,,left_only
6194,auburn_township_(clark_cnty),illinois,il,,,,,,,,left_only
6195,auburn_township_(sangamon_cnty),illinois,il,,,,,,,,left_only
6196,audubon,illinois,il,,,,,,,,left_only
6198,augusta_township,illinois,il,,,,,,,,left_only
6200,aurora_township,illinois,il,,,,,,,,left_only
6201,austin,illinois,il,,,,,,,,left_only
6202,aux_sable,illinois,il,,,,,,,,left_only
6204,avena,illinois,il,,,,,,,,left_only
6206,avoca,illinois,il,,,,,,,,left_only
6208,avon_township,illinois,il,,,,,,,,left_only
6209,ayers,illinois,il,,,,,,,,left_only
6210,bainbridge,illinois,il,,,,,,,,left_only
6211,bald_bluff,illinois,il,,,,,,,,left_only
6212,bald_hill,illinois,il,,,,,,,,left_only
6214,ball,illinois,il,,,,,,,,left_only
6216,banner_township_(effingham_cnty),illinois,il,,,,,,,,left_only
6217,banner_township_(fulton_cnty),illinois,il,,,,,,,,left_only
6220,barnett,illinois,il,,,,,,,,left_only
6221,barnhill,illinois,il,,,,,,,,left_only
6222,barr,illinois,il,,,,,,,,left_only
6223,barren,illinois,il,,,,,,,,left_only
6226,barrington_township,illinois,il,,,,,,,,left_only
6228,barry_township,illinois,il,,,,,,,,left_only
6234,batavia_township,illinois,il,,,,,,,,left_only
6237,bath_township,illinois,il,,,,,,,,left_only
6241,bear_creek_township_(christian_cnty),illinois,il,,,,,,,,left_only
6242,bear_creek_township_(hancock_cnty),illinois,il,,,,,,,,left_only
6243,bear_grove,illinois,il,,,,,,,,left_only
6245,beardstown_township,illinois,il,,,,,,,,left_only
6247,beaucoup,illinois,il,,,,,,,,left_only
6248,beaver,illinois,il,,,,,,,,left_only
6249,beaver_creek,illinois,il,,,,,,,,left_only
6251,beaverville_township,illinois,il,,,,,,,,left_only
6253,bedford,illinois,il,,,,,,,,left_only
6259,bell_plain,illinois,il,,,,,,,,left_only
6260,belle_prairie,illinois,il,,,,,,,,left_only
6264,belleville_township,illinois,il,,,,,,,,left_only
6267,bellflower_township,illinois,il,,,,,,,,left_only
6270,belmont,illinois,il,,,,,,,,left_only
6272,belvidere_township,illinois,il,,,,,,,,left_only
6274,bement_township,illinois,il,,,,,,,,left_only
6276,bennington,illinois,il,,,,,,,,left_only
6281,benton_township_(franklin_cnty),illinois,il,,,,,,,,left_only
6282,benton_township_(lake_cnty),illinois,il,,,,,,,,left_only
6285,berlin_township,illinois,il,,,,,,,,left_only
6286,bernadotte,illinois,il,,,,,,,,left_only
6287,berreman,illinois,il,,,,,,,,left_only
6288,berry,illinois,il,,,,,,,,left_only
6289,berwick,illinois,il,,,,,,,,left_only
6291,berwyn_township,illinois,il,,,,,,,,left_only
6294,bethel,illinois,il,,,,,,,,left_only
6296,bible_grove,illinois,il,,,,,,,,left_only
6297,big_grove,illinois,il,,,,,,,,left_only
6298,big_mound,illinois,il,,,,,,,,left_only
6300,big_rock_township,illinois,il,,,,,,,,left_only
6301,big_spring,illinois,il,,,,,,,,left_only
6303,biggsville_township,illinois,il,,,,,,,,left_only
6305,bird,illinois,il,,,,,,,,left_only
6306,birmingham,illinois,il,,,,,,,,left_only
6307,bishop,illinois,il,,,,,,,,left_only
