Place,StateCode,County
coffman_cove,ak,prince_of_wales-hyder_census_area
cohoe,ak,kenai_peninsula_borough
cold_bay,ak,aleutians_east_borough
college,ak,fairbanks_north_star_borough
cooper_landing,ak,kenai_peninsula_borough
copper_center,ak,valdez-cordova_census_area
cordova,ak,valdez-cordova_census_area
covenant_life,ak,haines_borough
craig,ak,prince_of_wales-hyder_census_area
crooked_creek,ak,bethel_census_area
crown_point,ak,kenai_peninsula_borough
deering,ak,northwest_arctic_borough
delta_junction,ak,southeast_fairbanks_census_area
deltana,ak,southeast_fairbanks_census_area
diamond_ridge,ak,kenai_peninsula_borough
dillingham,ak,dillingham_census_area
diomede,ak,nome_census_area
dot_lake_village,ak,southeast_fairbanks_census_area
dry_creek,ak,southeast_fairbanks_census_area
eagle,ak,southeast_fairbanks_census_area
eagle_village,ak,southeast_fairbanks_census_area
edna_bay,ak,prince_of_wales-hyder_census_area
eek,ak,bethel_census_area
egegik,ak,lake_and_peninsula_borough
eielson_afb,ak,fairbanks_north_star_borough
ekwok,ak,dillingham_census_area
elfin_cove,ak,hoonah-angoon_census_area
elim,ak,nome_census_area
emmonak,ak,wade_hampton_census_area
ester,ak,fairbanks_north_star_borough
evansville,ak,yukon-koyukuk_census_area
excursion_inlet,ak,haines_borough
fairbanks,ak,fairbanks_north_star_borough
false_pass,ak,aleutians_east_borough
farm_loop,ak,matanuska-susitna_borough
farmers_loop,ak,fairbanks_north_star_borough
ferry,ak,denali_borough
fishhook,ak,matanuska-susitna_borough
fort_greely,ak,southeast_fairbanks_census_area
fort_yukon,ak,yukon-koyukuk_census_area
four_mile_road,ak,yukon-koyukuk_census_area
fox,ak,fairbanks_north_star_borough
fox_river,ak,kenai_peninsula_borough
fritz_creek,ak,kenai_peninsula_borough
funny_river,ak,kenai_peninsula_borough
gakona,ak,valdez-cordova_census_area
galena,ak,yukon-koyukuk_census_area
gambell,ak,nome_census_area
game_creek,ak,hoonah-angoon_census_area
gateway,ak,matanuska-susitna_borough
glacier_view,ak,matanuska-susitna_borough
glennallen,ak,valdez-cordova_census_area
goldstream,ak,fairbanks_north_star_borough
