Place,City,County,StateCode
meadowbrook,meadowbrook,shelby,al
megargel,megargel,monroe,al
memphis,memphis,pickens,al
mentone,mentone,dekalb,al
meridianville,meridianville,madison,al
midfield,midfield,jefferson,al
midland_city,midland_city,dale,al
midway,midway,bullock,al
mignon,mignon,talladega,al
millbrook,millbrook,elmore,al
millerville,millerville,clay,al
millport,millport,lamar,al
millry,millry,washington,al
minor,minor,jefferson,al
mobile,mobile,mobile,al
monroeville,monroeville,monroe,al
montevallo,montevallo,shelby,al
montgomery,montgomery,montgomery,al
moody,moody,st._clair,al
moores_mill,moores_mill,madison,al
mooresville,mooresville,limestone,al
morris,morris,jefferson,al
morrison_crossroads,morrison_crossroads,randolph,al
mosses,mosses,lowndes,al
moulton,moulton,lawrence,al
moundville,moundville,hale,al
mount_olive_(coosa_cnty),mount_olive,coosa,al
mount_olive_(jefferson_cnty),mount_olive,jefferson,al
mount_vernon,mount_vernon,mobile,al
mountain_brook,mountain_brook,jefferson,al
movico,movico,mobile,al
mulga,mulga,jefferson,al
munford,munford,talladega,al
muscle_shoals,muscle_shoals,colbert,al
myrtlewood,myrtlewood,marengo,al
nanafalia,nanafalia,marengo,al
nances_creek,nances_creek,calhoun,al
napier_field,napier_field,dale,al
natural_bridge,natural_bridge,winston,al
nauvoo,nauvoo,walker,al
nectar,nectar,blount,al
needham,needham,choctaw,al
new_brockton,new_brockton,coffee,al
new_hope,new_hope,madison,al
new_market,new_market,madison,al
new_site,new_site,tallapoosa,al
new_union,new_union,etowah,al
newbern,newbern,hale,al
newton,newton,dale,al
newville,newville,henry,al
north_courtland,north_courtland,lawrence,al
north_johns,north_johns,jefferson,al
northport,northport,tuscaloosa,al
notasulga,notasulga,macon,al
oak_grove,oak_grove,talladega,al
oak_hill,oak_hill,wilcox,al
oakman,oakman,walker,al
odenville,odenville,st._clair,al
ohatchee,ohatchee,calhoun,al
oneonta,oneonta,blount,al
onycha,onycha,covington,al
opelika,opelika,lee,al
opp,opp,covington,al
orange_beach,orange_beach,baldwin,al
orrville,orrville,dallas,al
our_town,our_town,tallapoosa,al
owens_cross_roads,owens_cross_roads,madison,al
oxford,oxford,calhoun,al
ozark,ozark,dale,al
paint_rock,paint_rock,jackson,al
panola,panola,sumter,al
parrish,parrish,walker,al
pelham,pelham,shelby,al
pell_city,pell_city,st._clair,al
pennington,pennington,choctaw,al
penton,penton,chambers,al
perdido_beach,perdido_beach,baldwin,al
peterman,peterman,monroe,al
petrey,petrey,crenshaw,al
phenix_city,phenix_city,russell,al
phil_campbell,phil_campbell,franklin,al
pickensville,pickensville,pickens,al
piedmont,piedmont,calhoun,al
pike_road,pike_road,montgomery,al
pinckard,pinckard,dale,al
pine_apple,pine_apple,wilcox,al
pine_hill,pine_hill,wilcox,al
pine_level,pine_level,autauga,al
pine_ridge,pine_ridge,dekalb,al
pinson,pinson,jefferson,al
pisgah,pisgah,jackson,al
pleasant_grove,pleasant_grove,jefferson,al
pleasant_groves,pleasant_groves,jackson,al
point_clear,point_clear,baldwin,al
pollard,pollard,escambia,al
powell,powell,dekalb,al
prattville,prattville,autauga,al
priceville,priceville,morgan,al
prichard,prichard,mobile,al
providence,providence,marengo,al
putnam,putnam,marengo,al
ragland,ragland,st._clair,al
