Place,StateCode,County
tanana,ak,yukon-koyukuk census area
tatitlek,ak,valdez-cordova census area
tazlina,ak,valdez-cordova census area
teller,ak,nome census area
tenakee_springs,ak,hoonah-angoon census area
tetlin,ak,southeast fairbanks census area
thorne_bay,ak,prince of wales-hyder census area
togiak,ak,dillingham census area
tok,ak,southeast fairbanks census area
toksook_bay,ak,bethel census area
tonsina,ak,valdez-cordova census area
trapper_creek,ak,matanuska-susitna borough
tuluksak,ak,bethel census area
tuntutuliak,ak,bethel census area
tununak,ak,bethel census area
twin_hills,ak,dillingham census area
two_rivers,ak,fairbanks north star borough
tyonek,ak,kenai peninsula borough
ugashik,ak,lake and peninsula borough
unalakleet,ak,nome census area
unalaska,ak,aleutians west census area
upper_kalskag,ak,bethel census area
valdez,ak,valdez-cordova census area
venetie,ak,yukon-koyukuk census area
wainwright,ak,north slope borough
wales,ak,nome census area
wasilla,ak,matanuska-susitna borough
whale_pass,ak,prince of wales-hyder census area
white_mountain,ak,nome census area
whitestone,ak,southeast fairbanks census area
whitestone_logging_camp,ak,hoonah-angoon census area
whittier,ak,valdez-cordova census area
willow,ak,matanuska-susitna borough
willow_creek,ak,valdez-cordova census area
womens_bay,ak,kodiak island borough
wrangell,ak,wrangell city and borough
yakutat,ak,yakutat city and borough
aguila,az,maricopa county
ajo,az,pima county
ak_chin,az,pima county
ak-chin_village,az,pinal county
alamo_lake,az,la paz county
ali_chuk,az,pima county
ali_chukson,az,pima county
ali_molina,az,pima county
alpine,az,apache county
amado,az,santa cruz county
anegam,az,pima county
antares,az,mohave county
anthem,az,maricopa county
apache_junction,az,pinal county
arivaca,az,pima county
arivaca_junction,az,pima county
arizona_city,az,pinal county
arizona_village,az,mohave county
arlington,az,maricopa county
ash_fork,az,yavapai county
avenue_b_and_c,az,yuma county
avondale,az,maricopa county
avra_valley,az,pima county
aztec,az,yuma county
bagdad,az,yavapai county
bear_flat,az,gila county
beaver_dam,az,mohave county
beaver_valley,az,gila county
benson,az,cochise county
beyerville,az,santa cruz county
bisbee,az,cochise county
bitter_springs,az,coconino county
black_canyon_city,az,yavapai county
blackwater,az,pinal county
bluewater,az,la paz county
bouse,az,la paz county
bowie,az,cochise county
brenda,az,la paz county
bryce,az,graham county
buckeye,az,maricopa county
bullhead_city,az,mohave county
burnside,az,apache county
bylas,az,graham county
cactus_flats,az,graham county
cactus_forest,az,pinal county
cameron,az,coconino county
camp_verde,az,yavapai county
campo_bonito,az,pinal county
cane_beds,az,mohave county
canyon_day,az,gila county
carefree,az,maricopa county
carrizo,az,gila county
casa_blanca,az,pinal county
casa_grande,az,pinal county
casas_adobes,az,pima county
catalina,az,pima county
catalina_foothills,az,pima county
cave_creek,az,maricopa county
cedar_creek,az,gila county
centennial_park,az,mohave county
central,az,graham county
central_heights-midland_city,az,gila county
chandler,az,maricopa county
charco,az,pima county
chiawuli_tak,az,pima county
chilchinbito,az,navajo county
chinle,az,apache county
